RUN_UUID,CLASS_NAME,FEEDBACK_TYPE,NUMBER,INPUT_TOKEN_COUNT,OUTPUT_TOKEN_COUNT
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,COVERAGE,9,4642,3026
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,COVERAGE,10,4726,3237
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,INITIAL,0,8405,5072
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,MUTATION,1,9118,3327
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,MUTATION,2,5262,2125
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,MUTATION,3,5362,2364
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,MUTATION,4,5296,2133
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,MUTATION,5,5493,2088
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,MUTATION,6,5633,2395
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,MUTATION,7,5785,2580
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,MUTATION,8,5785,2827
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,MUTATION,9,5835,2715
019c6465-0859-7985-a1d1-3e70c682964b,com.fasterxml.jackson.core.JsonPointer,MUTATION,10,5843,3304
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,COVERAGE,1,8212,4352
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,COVERAGE,2,3591,2523
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,COVERAGE,3,3861,2641
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,COVERAGE,4,3957,2675
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,COVERAGE,5,13664,7960
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,COVERAGE,6,4393,3353
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,COVERAGE,7,4490,2997
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,COVERAGE,8,4625,2435
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,COVERAGE,9,4625,3332
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,COVERAGE,10,4970,2770
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,INITIAL,0,14914,5470
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,MUTATION,1,14122,5399
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,MUTATION,2,10646,4072
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,MUTATION,3,6809,2564
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,MUTATION,4,10666,5427
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,MUTATION,5,6410,2709
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,MUTATION,6,6373,2640
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,MUTATION,7,6579,2850
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,MUTATION,8,6740,2785
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,MUTATION,9,6740,2921
019c6476-d174-7379-afda-d93488a6025f,com.fasterxml.jackson.core.JsonPointer,MUTATION,10,6817,3175
019c6487-59dc-740c-8f88-82ff82096021,com.fasterxml.jackson.core.json.JsonWriteContext,COVERAGE,1,19041,12323
019c6487-59dc-740c-8f88-82ff82096021,com.fasterxml.jackson.core.json.JsonWriteContext,INITIAL,0,4642,4306
