D4J_PROJECT,D4J_BUG_ID,ALL_RUNS,COMPLETED_RUNS,SUCCESSFUL_RUNS,SUCCESS_RATE
Gson,3,53,53,12,22.6 %
Gson,5,53,53,35,66.0 %
Gson,6,53,53,9,17.0 %
Gson,7,53,52,39,73.6 %
Gson,8,52,52,21,40.4 %
Gson,10,53,52,20,37.7 %
Gson,11,52,52,33,63.5 %
Gson,12,52,52,20,38.5 %
Gson,13,53,52,30,56.6 %
Gson,15,52,52,21,40.4 %
